scene_id;episode_number;episode_title;timestamp;scene_description;agent_name;agent_quality_type;agent_quality_desc;target_name;target_quality_type;target_quality_desc;social_frame_id;social_frame_name;social_frame_definition;ethical_rule_id;ethical_rule_name;ethical_rule_definition;subversive_frame_id;subversive_frame_name;subversive_frame_definition;norm_occurrence_desc;subversive_occurrence_desc;theoretical_mechanism
HS_001;S12E02;The Gang Goes to a Water Park;00:02:32;Mac and Dee insult a lifeguard who tells them they are too big for the children's slide, then they force their way down and get painfully stuck.;Mac, Dee;BehavioralQuality;Arrogant adults who believe their age makes them superior to rules.;Lifeguard;BehavioralQuality;A  employee strictly enforcing safety protocols;ESF_RecreationalSafety;Recreational Facility Safety;A public setting where patrons must follow safety rules and staff instructions to prevent injury;ER_SafetyCompliance;Compliance with Safety Regulations;A social norm requiring patrons to strictly follow age/size restrictions and respect designated staff instructions;SubF_ChildishRebellion;Childish Rebellion by Adults;Adults exhibiting severe regression, throwing tantrums and breaking simple rules designed for children out of pure stubbornness;Mac and Dee should respect the lifeguard's instructions, accept that the slide is for children only, and walk away to use the adult attractions;"Mac and Dee dismiss the lifeguard's warning, selfishly push their way down the slide, and get wedged in the tube.
";SuperiorityTheory
HS_002;S08E05;The Gang Gets Analyzed;00:00:46;Dee brings the entire gang into her therapy session, and Frank dumps dirty dishes on the floor, demanding the therapist decide who should wash them;Dee, Gang;BehavioralQuality;Severe lack of social boundaries, and inability to resolve basic adult tasks;The Therapist;BehavioralQuality;"Professional demeanor and strict adherence to clinical psychological standards
";ESF_PsychotherapySession;Clinical Psychotherapy Session;A confidential, clinical setting where a patient works with a professional to address deep psychological issues.;ER_ClinicalBoundaries;Respect for Clinical Purpose and Boundaries;A professional norm requiring the patient to use therapy for psychological healing and to respect the sanctity of the clinical space;SubF_TherapyTrivialization;Trivialization and Hijacking of Therapy;The distorted belief that a highly trained medical professional is merely a referee for petty, mundane domestic disputes;Dee should use the private session to explore her personal feelings about the dinner conflict and work on her own psychological growth alone;Dee hijacks the session by bringing in the gang, while Frank dumps a tablecloth of dirty dishes on the therapist's floor to demand a ruling on a chore;IncongruityTheory
HS_003;S11E05;Mac & Dennis Move to the Suburbs;00:05:08;Mac and Dennis in their yard and aggressively stare in silence at a friendly neighbor who comes over to welcome them;Mac,  Dennis;BehavioralQuality;Extreme anti-social hostility, paranoia, and inability to comprehend basic friendly interactions.;Wally (The Neighbor);BehavioralQuality;Polite, cheerful, and engaging in standard suburban pleasantries;ESF_SuburbanNeighborhood;Suburban Neighborhood Interaction;A residential community setting where neighbors are expected to be cordial, introduce themselves, and engage in polite small talk.;ER_NeighborlyEtiquette;Good Neighbor Etiquette and Basic Politeness;A social norm requiring individuals to acknowledge greetings, introduce themselves, and maintain a friendly demeanor with those living nearby;SubF_HostileParanoia;Urban Hostility and Paranoia in Suburbia;The distorted belief that friendly, unsolicited social interaction is a threat or an offensive intrusion of privacy that warrants aggressive silence;Mac and Dennis should smile back, introduce themselves, and exchange polite pleasantries with the neighbor welcoming them.;Mac and Dennis stare aggressively in dead silence at the greeting neighbor, refusing to speak, and later express genuine outrage that he dared to talk to them;IncongruityTheory
HS_004;S05E05;The Waitress Is Getting Married;00:06:18;Mac and Dennis try to create an online dating profile for Charlie, but get frustrated when he gives absurd answers;Charlie;BehavioralQuality;Profound detachment from reality, bizarre personal tastes, and inability to understand basic social conventions;Mac, Dennis;BehavioralQuality;Frustrated friends trying to apply standard societal dating norms to an abnormal person.;ESF_OnlineDatingProfile;Online Dating Profile Creation;A social ritual where an individual highlights their most attractive, relatable, and normal hobbies to find a romantic partner;ER_SocialRelatability;Relatability and Social Appeal in Dating;The expectation that one should present understandable and socially acceptable traits to be perceived as an attractive and safe partner;SubF_BizarreUnrelatability;Absurd and Repellent Personal Tastes;The genuine expression of nonsensical, grotesque, or deeply unsettling preferences that guarantee immediate social rejection;"Charlie should provide normal, attractive answers like ""traveling,"" ""movies,"" or ""pizza"" to make himself appealing to women";"Charlie answers the questions with absurd, repellent things like ""milk steak,"" ""magnets,"" and ""ghouls,"" completely ruining the profile";IncongruityTheory 
HS_005;S13E05;The Gang Gets New Wheels;00:16:50;Mac and Charlie confront the thief who stole their bike, but intimidated by him, they retreat and instead brutally beat up his kid and friends to take the bike back;Mac, Charlie;BehavioralQuality;Extreme cowardice disguised as toughness, leading to completely disproportionate and misdirected violence;The Kids;PhysicalQuality;Small, physically weak children who are unable to defend themselves against two grown men;ESF_DisputeResolution;Adult Dispute Resolution;A social situation where mature adults resolve conflicts or thefts through verbal negotiation, law enforcement, or direct confrontation with the responsible party;ER_ProtectionOfMinors;Protection of Minors from Adult Violence;An absolute ethical and legal norm stating that grown adults must never physically assault children, regardless of the circumstances or provocation;SubF_DisplacedCowardice;Displaced Violence Due to Cowardice;The distorted logic of attacking innocent or weaker targets (children) to compensate for the fear of confronting the actual, physically intimidating perpetrator;Mac and Charlie should confront the intimidating father who stole their bike or call the police to resolve the theft legally;Too terrified to fight the adult thief, Mac and Charlie return and brutally beat up his young children instead to steal the bike back;IncongruityTheory
HS_006;S11E08;Charlie Catches a Leprechaun;00:04:40;Charlie suggests using green paint to dye the bar's beer for St. Patrick's Day, and Mac discovers Charlie has been casually drinking the toxic paint himself;Charlie;BehavioralQuality;Complete lack of basic survival instincts, severe ignorance, and self-destructive habits treated as normal behavior;Mac;BehavioralQuality;Acting as the voice of basic reason trying to prevent poisoning;ESF_FoodAndBeverageSafety;Food and Beverage Safety Standards;A baseline commercial and personal standard where consumable items must be non-toxic, and individuals avoid ingesting deadly chemicals;ER_SelfPreservation;Basic Self-Preservation and Health; The universal human instinct and ethical responsibility to protect one's own body and others by not consuming or serving lethal toxins;SubF_ToxicConsumption;Casual Consumption of Toxic Substances;The absurd normalization of eating or drinking industrial, deadly chemicals as if they were harmless everyday food items;Charlie should use safe, edible food coloring for the beer and acknowledge the extreme danger of ingesting industrial paint;Charlie plans to serve paint to customers, reveals his green tongue to show he drinks it himself, and dismisses Mac's horror about its toxicity;IncongruityTheory
HS_007;S08E06;Charlie's Mom Has Cancer;00:17:57;During a bar fundraiser for her supposed cancer, Charlie's mom reads a desperate speech but then casually admits to the crowd she faked the illness just for attention;Charlie Mom;BehavioralQuality;Extreme emotional manipulation, narcissism, and a complete disregard for moral boundaries regarding illness;The Fundraiser Crowd, Charlie;BehavioralQuality;Genuine empathy, grief, and willingness to donate money to a tragic cause;ESF_CharityFundraiser;Charity Fundraiser Event;A social gathering designed to elicit empathy and collect financial donations to help someone facing a severe tragedy or illness;ER_MedicalHonesty;Truthfulness Regarding Severe Illness;A fundamental moral rule prohibiting individuals from faking terminal diseases to exploit others' empathy or steal charitable funds;SubF_FakedIllness;Faking Illness for Attention;The sociopathic act of fabricating a deadly disease to manipulate loved ones into giving affection and strangers into giving money;Charlie’s mom should honestly disclose her health status, never fake a terminal illness, and seek her son's attention through healthy communication;Charlie’s mom stands before a sympathetic crowd wearing makeup to look dying, and casually admits she made up the cancer just to get Charlie to care about her;ReliefTheory
HS_008;S04E09;Dennis Reynolds: An Erotic Life;00:09:20;Dee tries to perform stand-up comedy but gets severe stage fright, repeatedly dry heaving loudly into the microphone before fleeing;Dee;PhysicalQuality;Uncontrollable physical anxiety, nausea, and bodily distress manifesting as loud dry heaves;The Comedy Club Audience;BehavioralQuality;Attentive, expectant, and waiting to be entertained by a prepared comedic routine;ESF_PublicPerformance;Public Stand-Up Comedy Performance;An entertainment setting where a performer stands on stage to confidently deliver rehearsed jokes and amuse an audience;ER_PerformanceComposure;Theatrical Composure and Preparation;The social expectation that a public performer maintains basic composure, speaks clearly, and attempts to entertain rather than displaying severe bodily distress;SubF_BodilyPanic;Involuntary Bodily Panic and Failure;The complete physical and psychological collapse of a performer, resulting in grotesque bodily reflexes instead of rehearsed entertainment;Dee should confidently hold the microphone, tell her rehearsed jokes smoothly, and attempt to make the audience laugh;Dee stammers nervously, fails to tell a single joke, and repeatedly dry heaves loudly into the microphone before running off stage;SuperiorityTheory
HS_009;S05E09;Mac and Dennis Break Up;00:09:56;"Dennis demands Dee peel his apple because Mac used to do it to protect him from ""toxins,"" and screams when she tells him to just eat the skin";Dennis;BehavioralQuality;Extreme infantile dependence, narcissism, and bizarre paranoia regarding normal food;Dee;BehavioralQuality;Rational adult refusing to enable a grown man's bizarre and childish demands;ESF_AdultSelfSufficiency;Basic Adult Self-Sufficiency;The social expectation that a grown adult is capable of preparing and eating basic foods, like an apple, without assistance;ER_PersonalIndependence;Personal Independence and Maturity;A social norm dictating that adults should not treat their peers as servants for trivial tasks or throw tantrums when denied;SubF_InfantileCodependency;Infantile Co-dependency and Tantrums;The regressive behavior of a grown adult demanding toddler-level care from others and reacting with explosive rage when treated like an adult;Dennis should either peel the apple himself or simply eat it with the skin like a normal, functioning adult;Dennis demands Dee peel his apple, cites absurd fears of skin toxins, and throws a screaming tantrum when she refuses to coddle him;IncongruityTheory
HS_010;S02E03;Dennis and Dee Go on Welfare;00:19:35;Dennis and Dee confess their severe crack addiction to Mac and Charlie, who immediately respond with total apathy and ruthlessly mock them for crying about it;Mac, Charlie;BehavioralQuality;Complete lack of human empathy, cruelty, and taking sadistic pleasure in the severe misfortune of their friends;Dennis, Dee;PhysicalQuality;Visibly strung out, physically deteriorated, and in a state of desperate withdrawal;ESF_CloseFriendship;Close Friendship and Mutual Support;A social bond between close friends where mutual support, empathy, and help are expected during times of severe personal crisis;ER_CompassionAndSupport;Compassion in Times of Crisis;The ethical obligation to provide emotional support and intervention when a loved one confesses to a life-threatening problem like severe drug addiction;SubF_CruelApathy;Callous Apathy and Cruel Mockery;The sociopathic reaction of finding immense amusement in the suffering of friends, completely discarding any sense of empathy or duty to help;Mac and Charlie should express deep shock and concern, offer immediate help, and suggest rehab for their friends' severe addiction;Mac and Charlie immediately state they do not care, laugh at their friends' degraded state, and aggressively pantomime them crying for crack;SuperiorityTheory
